page_number,response_content
263,"```json
{
  ""page_number"": 84,
  ""content"": ""Stronger hands like two pair and straights generate more EV as slow plays, as the stacks are shallow and ranges are wide.\n\nStraight draws also shove sometimes, but these are semi-bluffs not value raises."",
  ""graph_explanation"": {
    ""graph1"": ""The graph represents hand ranges for XR shoving on the flop in spin games. It includes a grid showing possible hand combinations such as AA, AKs, AKo, Q7s, etc. Colors indicate different actions recommended for each hand. Green represents hands that can be slow-played, red indicates shoving, and blue suggests semi-bluffing with straight draws.""
  }
}
```"
264,"```json
{
  ""Page Number"": 85,
  ""Content"": ""[NL500 6-Max Cash, 100bb] BTN opens 2.5, SB 3-bets 12 with A♦ K♠, BTN calls. Flop is A♠ 9♥ 7♠. SB c-bets 33%, BTN calls. Which turn cards should SB barrel most often with A♦ K♠?"",
  ""Questions"": ""Which turn cards should SB barrel most often with A♦ K♠?"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""BB Action"": ""CHECK, BET 20%, BET 50%, ALLIN 469%"",
      ""BTN Action"": ""CHECK, BET 33%, BET 50%, BET 75%, BET 125%"",
      ""BB Flop"": ""A♥ 9♥ 7♠"",
      ""BB Details"": ""FOLD, CALL, RAISE 50%, RAISE 100%, ALLIN 469%""
    }
  }
}
```"
265,"```json
{
  ""pageNumber"": 85,
  ""content"": ""Optimizing AK\n\nCorrect answer\nA: 2 of clubs"",
  ""graphExplanation"": ""The graph represents the SB (Small Blind) turn strategy with Ace of spades and King of diamonds. The x-axis lists card ranks from 2 to Ace, showing opponent hand ranges. The y-axis is split into sections of different heights and colors, indicating different actions: fold (red), check (lighter red), and bet (green). The graph displays varying degrees of aggressiveness as the opponent's range changes, suggesting optimal play based on the hand strength and potential board development.""
}
```"
266,"```json
{
  ""Page Number"": 85,
  ""Content"": ""The brick 2♣ allows you to extract maximum value with top pair top kicker.\n\nThe K♣ gives you top-two and is the highest EV turn card for this hand, but it hard-blocks BTN's calling range which makes it hard to extract value with a lead.\n\nThe 6♠ and 8♥ complete many draws in both ranges which downgrades the value of AK, which causes it to c-bet less often."",
  ""Graph Explanation"": ""The graph depicts the SB turn strategy with A♠K♠. It displays a matrix of possible turn cards ranging from 2 to A, revealing the optimal action across different scenarios. Green bars indicate favorable situations for continuation, while red bars suggest strategic caution or folding depending on the board dynamic. The distribution of red and green segments visually indicates how different turn cards impact strategic decisions.""
}
```"
267,"```json
{
  ""page_number"": 86,
  ""content"": ""[Cash/MTT 100bb] CO opens 2.3bb, action on BB. Why does BB call so much wider in MTTs compared to cash games?"",
  ""questions"": ""Why does BB call so much wider in MTTs compared to cash games?"",
  ""graph_explanation"": {
    ""graph1"": {
      ""description"": ""MTT - BB strategy vs CO open"",
      ""details"": ""The graph depicts the BB's strategy when facing a CO open of 2.3bb in a cash game or MTT scenario with 100bb stacks. It uses a color-coded matrix to show the preferred actions for each starting hand combination. Red represents folds, green indicates calls, and blue signifies raises. The matrix covers a wide range of hands, demonstrating that the BB calls much wider in MTTs.""
    }
  }
}
```"
268,"```json
{
  ""Page Number"": 86,
  ""Content"": ""COMPARING MTT AND CASH"",
  ""Graph Explanation"": {
    ""Type"": ""Matrix for 6max cash - BB strategy vs CO open"",
    ""Matrix"": {
      ""Range Analysis"": [
        {
          ""Category"": ""Red"",
          ""Hands"": [
            ""AA"", ""AKs"", ""AQs"", ""AJs"", ""ATs"", ""A9s"", ""A8s"", ""A7s"", ""A6s"", ""A5s"",
            ""A4s"", ""A3s"", ""A2s"", ""AKo"", ""KK"", ""KQs"", ""KJs"", ""KTs"", ""K9s"", ""K8s"",
            ""K7s"", ""K6s"", ""K5s"", ""K4s"", ""AKo"", ""KK"", ""KQs"", ""KJs"", ""KTs"",
            ""AQo"", ""KQo"", ""QQ"", ""QJs"", ""QTs"", ""Q9s"", ""Q8s"", ""Q7s"", ""Q6s"",
            ""Q5s"", ""Q4s"", ""Q3s"", ""Q2s"", ""AJo"", ""KJo"", ""QJo"", ""JJ"", ""JTs"", ""J9s"",
            ""J8s"", ""J7s"", ""J6s"", ""J5s"", ""J4s"", ""J3s"", ""J2s"", ""ATo"", ""KTo"", ""QTo"",
            ""JTo"", ""TT"", ""T9s"", ""T8s"", ""T7s""
          ]
        },
        {
          ""Category"": ""Green"",
          ""Hands"": [
            ""A5s"", ""A4s"", ""A3s"", ""A2s"", ""K5s"", ""K4s"", ""K3s"", ""K2s"", ""Q5s"", 
            ""Q4s"", ""Q3s"", ""Q2s"", ""J5s"", ""J4s"", ""J3s"", ""J2s"", ""T5s"", ""T4s"",
            ""T3s"", ""T2s"", ""95s"", ""94s"", ""93s"", ""92s"", ""85s"", ""84s"", ""83s"", ""82s"",
            ""75s"", ""74s"", ""73s"", ""72s"", ""65s"", ""64s"", ""63s"", ""62s"", ""54s"",
            ""53s"", ""52s"", ""43s"", ""42s"", ""32s""
          ]
        },
        {
          ""Category"": ""Blue"",
          ""Hands"": [
            ""AJo"", ""KJo"", ""QJo"", ""JTo"", ""T9o"", ""98o"", ""87o"", ""76o"", ""65o"",
            ""54o"", ""A9o"", ""K9o"", ""Q9o"", ""J9o"", ""T9o"", ""98o"", ""87o"", ""76o"", 
            ""65o"", ""54o"", ""A8o"", ""K8o"", ""Q8o"", ""J8o"", ""T8o"", ""97o"", ""86o"",
            ""75o"", ""64o"", ""53o"", ""A7o"", ""K7o"", ""Q7o"", ""J7o"", ""T7o"", ""96o"", 
            ""85o"", ""74o"", ""63o"", ""52o"", ""A6o"", ""K6o"", ""Q6o"", ""J6o"", ""T6o"", 
            ""95o"", ""84o"", ""73o"", ""62o"", ""A5o"", ""K5o"", ""Q5o"", ""J5o"", ""T5o"",
            ""94o"", ""83o"", ""72o"", ""A4o"", ""K4o"", ""Q4o"", ""J4o"", ""T4o"", ""93o"", 
            ""82o"", ""A3o"", ""K3o"", ""Q3o"", ""J3o"", ""T3o"", ""92o"", ""A2o"", ""K2o"", 
            ""Q2o"", ""J2o"", ""T2o""
          ]
        }
      ]
    },
    ""Context"": ""This matrix outlines the optimal strategy in a 6max cash game for a player in the big blind position when facing an open raise from the cutoff.""
  }
}
```"
269,"```json
{
  ""Page Number"": 86,
  ""Content"": ""MTTs have antes and don't have rake.\n\nBB only needs to to capture 21% of the pot in an MTT, but they need 29% in a cash game.\n\nIn summary, BB defends more hands in MTTs because they get better pot odds."",
  ""Graph Explanation"": {
    ""graph1"": {
      ""MTT"": {
        ""Call"": ""1.3"",
        ""To win"": ""6.1"",
        ""Pot share required"": ""21%""
      },
      ""Cash"": {
        ""Call"": ""1.3"",
        ""To win"": ""4.5"",
        ""Pot share required"": ""29%""
      }
    }
  }
}
```"
270,"```json
{
  ""Page Number"": 87,
  ""Content"": ""[HU Cash, 100bb] SB (IP) opens 2.5, BB calls. Flop is A♥ J♦ T♣. SB overbets 150% pot. Which of these hands should BB consider calling?\n\nA: 4♦ 4♣\nB: T♠ 9♥\nC: K♣ 2♣\nD: K♦ 9♦"",
  ""Question"": ""Which of these hands should BB consider calling?"",
  ""Graph Explanation"": {
    ""graph1"": ""The graph illustrates a scenario in Heads-Up Cash with 100 big blinds: \n- SB opens to 2.5, BB calls. \n- The flop is A♥ J♦ T♣.\n- Post-flop actions are shown with possible actions for SB and BB after BB checks:\n  - SB can choose between BET 33%, BET 67%, BET 100%, BET 150%, and ALL-IN 1950%.\n  - BB's possible actions following these bets include FOLD, CALL, RAISE 50%, RAISE 100%, and ALL-IN 450%.""
  }
}
```"
271,"```json
{
  ""Page Number"": 270,
  ""Content"": ""Spots: Defending Against Overbet Flops in HU Pots"",
  ""Questions"": ""Correct answer: C: K♣ 2♣"",
  ""Graph Explanation"": {
    ""Description"": ""The graph illustrates hand ranges for defending against overbet flops in heads-up pots. The grid indicates various combinations of starting hands with colors representing different actions. Key hands shown in dark green (strong holdings) like A♣K♣, A♠K♠, are premium hands. Blue tones suggest less optimal hands like K♠2♠. The green squares are hands such as K♠9♠, Q♠9♠, Q♠8♠, indicating semi-strong or speculative hands suggested for calls or raises. Darker shades reflect stronger actions, lighter shades indicate more marginal decisions.""
  }
}
```"
272,"```json
{
  ""page_number"": 87,
  ""content"": ""DEFENDING AGAINST OVERBET FLOPS IN HU POTS\nWhen facing polarized attacks, the ability to outdraw value becomes more important than raw hand strength."",
  ""graph_explanation"": {
    ""graph1"": ""BB EV facing flop overbet matrix displaying various hand combinations. The hands are color-coded to represent different expected values (EVs) with green indicating higher EVs, red indicating lower EVs, and yellow/orange indicating average EVs. Top left shows premium hands like AA, AKs, and AQs with varying EVs; AA has a larger number indicating a better EV. Middle section shows suited connectors and broadways like QJs, JTs, T9s with mixed EVs. Bottom section shows lower pairs and offsuit hands like 22, 33, T9o, with mostly negative EVs. Overall, the graph emphasizes hands' effectiveness at outdrawing value in polarized scenarios.""
  }
}
```"
273,"```json
{
  ""Page Number"": 87,
  ""Content"": ""Villain will continue to apply pressure on later streets, so draws tend to overperform compared to medium made hands. K♣2♣ has a gutshot and a BDFD, which performs better against the top of villain's range than the other 3 hands."",
  ""Graph Explanation"": ""The graph illustrates BB's K♣2♣ EV by turn card, showing how the EV varies with different turn cards. Each bar represents a specific card, with varying heights indicating the EV value. The green bars indicate higher EV values with certain turn cards, suggesting K♣2♣ performs better with these turns. Specific cards like 2, 3, 4, 5, 6, 7, 8, 9, T, J, Q, K, A are shown on the x-axis, with noticeable peaks in EV for high cards such as Q, K, A.""
}
```"
274,"```json
{
  ""pageNumber"": 88,
  ""content"": ""[NL500 6-Max Cash, 100bb] BTN opens 2.5 BB calls. Flop is A♥ Q♦ 7♦. BTN overbets 125%, BB calls. Which turn card should BB consider block-bet donking?"",
  ""questions"": ""Which turn card should BB consider block-bet donking?"",
  ""graphExplanation"": {
    ""flop"": {
      ""cards"": [""A♥"", ""Q♦"", ""7♦""],
      ""potSize"": ""5.5bb""
    },
    ""bbActionsAfterFlop"": ""CHECK, BET 33%"",
    ""btnActionsAfterFlop"": ""CHECK, BET 33%, BET 50%, BET 75%, BET 125%"",
    ""bbActionsAfterBtnBet"": ""FOLD, CALL, RAISE 50%, RAISE 100%, ALLIN 469%"",
    ""turnPotSize"": ""19.3bb"",
    ""bbActionsTurn"": ""CHECK, BET 20%, BET 50%, ALLIN 469%""
  }
}
```"
275,"```json
{
  ""Page Number"": 274,
  ""Content"": ""Correct answer\nB: 9♦"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Title"": ""BB strategy by turn card"",
      ""Details"": ""The graph displays the Big Blind (BB) strategy by turn card, showing a color-coded strategy where green bars indicate a default play and red bars indicate an alternative strategy. The x-axis contains turn cards ranging from 2 to A, and the y-axis represents the frequency or likelihood of playing a particular strategy.""
    }
  }
}
```"
276,"```json
{
  ""Page Number"": 88,
  ""Content"": ""BB donks most flush-completing turns. The overbet narrows BB's range significantly, so they end up with a higher proportion of flush draws after calling the flop bet."",
  ""Graph Explanation"": {
    ""Draw Distribution"": {
      ""Combo Draw"": ""1.1%"",
      ""Flush Draw"": ""21.3%"",
      ""Gutshot"": ""11.5%"",
      ""No Draw"": ""66.2%"",
      ""Combo Draw After Overbet"": ""0.7%"",
      ""Flush Draw After Overbet"": ""10.4%"",
      ""Gutshot After Overbet"": ""16%"",
      ""No Draw After Overbet"": ""72.9%""
    },
    ""Description"": ""Draw distribution after calling flop overbet.""
  }
}
```"
277,"```json
{
  ""Page Number"": 276,
  ""Content"": ""The 7 doesn't help BB as much since they fold most 7x on the flop. The T♥ is somewhat neutral, completing KJ gutshots in both ranges. The A♦ completes the flush draw, but it also gives BTN a number of AQ/A9/A7 boats which mitigates the nut advantage needed to donk."",
  ""Graph Explanation"": {
    ""Description"": ""The graph displays a range chart with actions represented by colors. Green bars represent the range that Big Blind (BB) can continue with, while red bars show the hands they fold. On the x-axis, all ranks from 2 to Ace are present. The graph illustrates BB's response to various board cards, indicating their folding frequency with reds and their continuation with greens. The height of the bars suggests the intensity of folding or continuing actions across different hands.""
  }
}
```"
278,"```json
{
  ""Page Number"": 89,
  ""Content"": ""[Spin & Go, 15-15-15] BTN (hero) opens, BB calls. Flop is K♥ 8♥ 8♦. BTN bets 1bb on the flop, BB calls. Turn is the A♣, checks through. River is the 3♦, BB bets 85%. BTN holds KQo. Would you rather bluff-catch with or without the Q♥?\n\nA: Prefer to call with the Q♥\nB: Prefer not to have the Q♥"",
  ""Questions"": ""Would you rather bluff-catch with or without the Q♥?"",
  ""Graph Explanation"": {
    ""graph1"": ""Flop:\n- K♥ 8♥ 8♦\n- BTN:\n  - Check\n  - Bet 1.5 (33%)\n  - All-In 13 (289%)\n- BB:\n  - Check\n  - Bet 1 (22%)\n  - Bet 1.5 (33%)\n  - Bet 2.25 (50%)\n  - Bet 3.4 (76%)\n  - Bet 4.5 (100%)"",
    ""graph2"": ""Turn:\n- A♣\n- BTN:\n  - Check\n  - All-In 12 (185%)\n- BB:\n  - Check\n  - Bet 1.3 (20%)\n  - Bet 2.15 (33%)\n  - Bet 3.25 (50%)\n  - Bet 4.9 (75%)\n  - Bet 6.5 (100%)"",
    ""graph3"": ""River:\n- 3♦\n- BTN:\n  - Fold\n  - Call\n  - All-In 12 (37%)\n- BB:\n  - Bet 1 (15%)\n  - Bet 2.5 (38%)\n  - Bet 4.2 (62%)\n  - Bet 5.5 (85%)\n  - All-In 12 (185%)""
  }
}
```"
279,"```json
{
  ""Page Number"": 278,
  ""Content"": ""Spots: BLOCKING THE MISSED FLUSH DRAW"",
  ""Questions"": ""B: Prefer not to have the Q♥"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Hand"": [""K♠Q♣"", ""K♣Q♠"", ""K♦Q♣"", ""K♦Q♠"", ""K♥Q♣"", ""K♠Q♦"", ""K♦Q♠"", ""K♣Q♦"", ""K♥Q♠"", ""K♠Q♣"", ""K♦Q♥"", ""K♥Q♦"", ""K♠Q♥"", ""K♦Q♠""],
      ""Strategy"": [""30%"", ""30%"", ""29.9%"", ""29.9%"", ""26.6%"", ""26.6%"", ""35.6%"", ""34.6%"", ""35.6%"", ""30.1%"", ""30.1%"", ""0%"", ""0%"", ""0%""],
      ""Range"": [""30%"", ""30%"", ""29.9%"", ""29.9%"", ""26.6%"", ""26.6%"", ""35.6%"", ""34.6%"", ""35.6%"", ""30.1%"", ""30.1%"", ""0%"", ""0%"", ""0%""],
      ""EV"": [""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""],
      ""Equity"": [""31.4%"", ""31.4%"", ""31.4%"", ""31.4%"", ""31.4%"", ""31.4%"", ""30.1%"", ""30.1%"", ""30.1%"", ""30.1%"", ""30.1%"", ""0%"", ""0%"", ""0%""],
      ""EQR"": [""0%"", ""0%"", ""0%"", ""0%"", ""0%"", ""0%"", ""0%"", ""0%"", ""0%"", ""0%"", ""0%"", ""0%"", ""0%"", ""0%""],
      ""Blocker"": [""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]
    }
  }
}
```"
280,"```json
{
  ""page_number"": 89,
  ""content"": ""The Q♥ blocks missed flush draws in BB's range.\n\nThis means BB is more likely to hold a value hand because we block their bluffs."",
  ""graph_explanation"": {
    ""graph1"": {
      ""description"": ""The graph displays various hands with strategies, ranges, and the blocking effect. The hands are combinations of King and Queen of different suits. The strategy and range percentages vary, showing how the Queen of hearts (Q♥) blocks specific missed flush draws. The equity, EV, and EQR values are consistent at 0% or 31.4%/30.1%, with a blocker effect indicated in the last column."",
      ""details"": [
        {
          ""hand"": ""K♠Q♠"",
          ""strategy"": ""30%"",
          ""range"": ""30%"",
          ""equity"": ""31.4%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""1""
        },
        {
          ""hand"": ""K♦Q♦"",
          ""strategy"": ""30%"",
          ""range"": ""30%"",
          ""equity"": ""31.4%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""1""
        },
        {
          ""hand"": ""K♣Q♣"",
          ""strategy"": ""29.9%"",
          ""range"": ""29.9%"",
          ""equity"": ""31.4%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""1""
        },
        {
          ""hand"": ""K♥Q♠"",
          ""strategy"": ""28.6%"",
          ""range"": ""28.6%"",
          ""equity"": ""31.4%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""1""
        },
        {
          ""hand"": ""K♥Q♦"",
          ""strategy"": ""26.6%"",
          ""range"": ""26.6%"",
          ""equity"": ""31.4%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""1""
        },
        {
          ""hand"": ""K♠Q♥"",
          ""strategy"": ""35.6%"",
          ""range"": ""35.6%"",
          ""equity"": ""30.1%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""1""
        },
        {
          ""hand"": ""K♦Q♥"",
          ""strategy"": ""34.6%"",
          ""range"": ""34.6%"",
          ""equity"": ""30.1%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""1""
        },
        {
          ""hand"": ""K♣Q♥"",
          ""strategy"": ""35.6%"",
          ""range"": ""35.6%"",
          ""equity"": ""30.1%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""1""
        },
        {
          ""hand"": ""K♦Q♠"",
          ""strategy"": ""0%"",
          ""range"": ""0%"",
          ""equity"": ""0%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""0""
        },
        {
          ""hand"": ""K♦Q♣"",
          ""strategy"": ""0%"",
          ""range"": ""0%"",
          ""equity"": ""0%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""0""
        },
        {
          ""hand"": ""K♥Q♦"",
          ""strategy"": ""0%"",
          ""range"": ""0%"",
          ""equity"": ""0%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""0""
        },
        {
          ""hand"": ""K♦Q♠"",
          ""strategy"": ""0%"",
          ""range"": ""0%"",
          ""equity"": ""0%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""0""
        },
        {
          ""hand"": ""K♦Q♣"",
          ""strategy"": ""0%"",
          ""range"": ""0%"",
          ""equity"": ""0%"",
          ""EV"": ""0"",
          ""EQR"": ""0%"",
          ""blocker"": ""0""
        }
      ]
    }
  }
}
```"
281,"```json
{
  ""Page Number"": 90,
  ""Content"": ""[8-Max MTT, 35bb] CO open 2.2, SB 3-bet 8.3, CO Call. Flop is Ten of hearts, Nine of hearts, Three of diamonds and checks through. Turn is the Queen of diamonds, putting two flush draws out there. SB is considering betting the turn."",
  ""Questions"": [
    ""Should SB bet AA more or less often when they don't hold a flush draw blocker?"",
    ""Should SB bet AJo more or less often when they don't hold a flush draw blocker?""
  ],
  ""Graph Explanation"": {
    ""graph1"": {
      ""Flop"": ""Ten of hearts, Nine of hearts, Three of diamonds"", 
      ""SB Actions"": {
        ""Check"": ""100%"",
        ""Bet 1.85"": ""10%"",
        ""Bet 4.65"": ""25%"",
        ""Bet 9.3"": ""50%"",
        ""Bet 13.95"": ""75%"",
        ""Bet 18.6"": ""100%""
      },
      ""Turn"": ""Queen of diamonds"",
      ""CO Actions"": {
        ""Fold"": ""CO Fold"",
        ""Raise 2.2"": ""CO Raise 2.2"",
        ""All-in 35"": ""CO All-in 35""
      },
      ""BTN Actions"": {
        ""Fold"": ""Fold"",
        ""Call"": ""Call"",
        ""Raise 6.6"": ""Raise 6.6"",
        ""All-in 35"": ""All-in 35""
      },
      ""SB Actions on Turn"": {
        ""Check"": ""100%"",
        ""Bet 1.85"": ""10%"",
        ""Bet 4.65"": ""25%"",
        ""Bet 9.3"": ""50%"",
        ""Bet 13.95"": ""75%"",
        ""Bet 18.6"": ""100%""
      }
    }
  }
}
```"
282,"```json
{
  ""Page Number"": 90,
  ""Content"": ""Comparing Flush Draw Blockers\n\nQ1: Bet AA more often when you don't hold a flush draw blocker\nQ2: Bet AJo less often when you don't hold a flush draw blocker"",
  ""Graph Explanation"": {
    ""graph1"": ""The graph compares different poker hands focusing on their strategy, range, EV (Expected Value), equity, EQR (Equity Realization), and blocker effects. The hands include combinations of A♠ A♦, A♠ A♥, A♠ A♣, A♦ A♥ for flush draw blockers with percentages. The blockers are visualized, showing percentages of how often each hand should be used in certain positions. The graph shows a general recommendation that hands like AA without flush draw blockers should be bet more often, indicated by green bars, while other combinations show less frequent usage.""
  }
}
```"
283,"```json
{
  ""page_number"": 90,
  ""content"": ""AA is trying to get called by worse hands, whereas AJ is trying to generate folds.\n\nUnblocking the flush draw means you get called more often. That's great for hands that want to get called like AA, but bad for bluffs like AJo."",
  ""graph_explanation"": {
    ""graph1"": {
      ""hand"": [
        ""Ace of spades Ace of clubs"",
        ""Ace of spades Ace of diamonds"",
        ""Ace of diamonds Ace of clubs"",
        ""Ace of hearts Ace of spades"",
        ""Ace of hearts Ace of diamonds"",
        ""Ace of hearts Ace of clubs""
      ],
      ""strategy"": ""Various strategic positions or scenarios represented by different colors."",
      ""range"": [
        33.5,
        33.5,
        86.1,
        76.8,
        76.8,
        9.9
      ],
      ""EV"": [
        14.14,
        14.14,
        14.29,
        13.5,
        13.5,
        13.73
      ],
      ""EQ%"": [
        68.4,
        68.4,
        69.7,
        68,
        68,
        66.7
      ],
      ""EQR%"": [
        111.1,
        111.1,
        110.2,
        106.7,
        106.7,
        110.7
      ],
      ""value_removal"": [
        4,
        5,
        6,
        4,
        5,
        3
      ],
      ""trash_removal"": [
        9,
        9,
        6,
        7,
        7,
        10
      ]
    }
  }
}
```"
284,"```json
{
  ""pageNumber"": 91,
  ""content"": ""[HU Cash, 100bb] SB/BTN opens 2.5, BB 3-bets to 10, SB calls. Flop is J♥ 9♥ 7♦."",
  ""questions"": ""Why does AJo prefer to bet the flop when it has a low blocker score, while AQo prefers to bet with a higher blocker score?"",
  ""graphExplanation"": {
    ""graph1"": {
      ""preFlopActions"": [
        {
          ""position"": ""SB"",
          ""action"": ""RAISE"",
          ""amount"": 2.5
        },
        {
          ""position"": ""BB"",
          ""action"": ""RAISE"",
          ""amount"": 10
        },
        {
          ""position"": ""SB"",
          ""action"": ""CALL""
        }
      ],
      ""postFlopActions"": {
        ""flop"": ""J♥ 9♥ 7♦"",
        ""BBOptions"": [
          {
            ""action"": ""CHECK"",
            ""probability"": 0,
            ""percentage"": null
          },
          {
            ""action"": ""BET"",
            ""amount"": 4,
            ""percentage"": 20
          },
          {
            ""action"": ""BET"",
            ""amount"": 6.6,
            ""percentage"": 33
          },
          {
            ""action"": ""BET"",
            ""amount"": 10,
            ""percentage"": 50
          },
          {
            ""action"": ""BET"",
            ""amount"": 15,
            ""percentage"": 75
          },
          {
            ""action"": ""BET"",
            ""amount"": 20,
            ""percentage"": 100
          }
        ]
      }
    }
  }
}
```"
285,"```json
{
  ""Page Number"": 91,
  ""Content"": ""Spots COMPARING BLOCKERS IN HU 3-BET POTS"",
  ""Graph Explanation"": {
    ""graph1"": {
      ""title"": ""Comparing Blockers in HU 3-Bet Pots"",
      ""details"": [
        {""Hand"": ""A♠Q♠"", ""Strategy"": ""Red bar"", ""Blocker"": 6},
        {""Hand"": ""A♠Q♣"", ""Strategy"": ""Red bar"", ""Blocker"": 6},
        {""Hand"": ""A♠Q♦"", ""Strategy"": ""Red bar"", ""Blocker"": 6},
        {""Hand"": ""A♠Q♥"", ""Strategy"": ""Red bar"", ""Blocker"": 6},
        {""Hand"": ""A♠Q♣"", ""Strategy"": ""Green bar"", ""Blocker"": 5},
        {""Hand"": ""A♠Q♥"", ""Strategy"": ""Green bar"", ""Blocker"": 5},
        {""Hand"": ""A♣Q♦"", ""Strategy"": ""Green bar"", ""Blocker"": 5},
        {""Hand"": ""A♠Q♦"", ""Strategy"": ""Green bar"", ""Blocker"": 3},
        {""Hand"": ""A♠Q♣"", ""Strategy"": ""Green bar"", ""Blocker"": 3},
        {""Hand"": ""A♣Q♦"", ""Strategy"": ""Green bar"", ""Blocker"": 3},
        {""Hand"": ""A♠Q♣"", ""Strategy"": ""Green bar"", ""Blocker"": 3},
        {""Hand"": ""A♣Q♠"", ""Strategy"": ""Green bar"", ""Blocker"": 3}
      ]
    },
    ""graph2"": {
      ""details"": [
        {""Hand"": ""A♠J♣"", ""Strategy"": ""Red bar"", ""Blocker"": 9},
        {""Hand"": ""A♠J♦"", ""Strategy"": ""Red bar"", ""Blocker"": 9},
        {""Hand"": ""A♠J♥"", ""Strategy"": ""Red bar"", ""Blocker"": 9},
        {""Hand"": ""A♠J♠"", ""Strategy"": ""Red bar"", ""Blocker"": 7},
        {""Hand"": ""A♠J♦"", ""Strategy"": ""Green bar"", ""Blocker"": 7},
        {""Hand"": ""A♠J♣"", ""Strategy"": ""Green bar"", ""Blocker"": 6},
        {""Hand"": ""A♠J♥"", ""Strategy"": ""Green bar"", ""Blocker"": 6},
        {""Hand"": ""A♠J♠"", ""Strategy"": ""Green bar"", ""Blocker"": 6},
        {""Hand"": ""A♣J♥"", ""Strategy"": ""Green bar"", ""Blocker"": 6}
      ]
    }
  },
  ""Content"": ""Correct answer The blocker score measures how much EV you block in your opponent's range!""
}
```"
286,"```json
{
  ""Page Number"": 91,
  ""Content"": ""AJ is a value bet that wants to get called by worse. Value bets want to block less value in the opponent's range. AQ is a bluff that wants to block calls. Bluffs prefer to block more value in the opponent's range."",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
287,"```json
{
  ""page_number"": 92,
  ""content"": ""[NL500 6-Max Cash, 100bb] BTN opens 2.5 BB calls. Flop is Q♥️9♠️7♦️.\nWhy does BTN prefer a smaller bet size with QQ and a larger bet size with KK?\n\nA: Blockers\nB: Vulnerability\nC: Hand strength\nD: Implied odds"",
  ""questions"": ""Why does BTN prefer a smaller bet size with QQ and a larger bet size with KK?"",
  ""graph_explanation"": {
    ""flop"": {
      ""cards"": [""Q♥️"", ""9♠️"", ""7♦️""],
      ""pot_size"": 5.5
    },
    ""BB"": {
      ""actions"": [""CHECK"", ""BET 1.8 (33%)""]
    },
    ""BTN"": {
      ""actions"": [""CHECK"", ""BET 1.8 (33%)"", ""BET 2.75 (50%)"", ""BET 4.1 (75%)"", ""BET 6.9 (125%)""]
    }
  }
}
```"
288,"```json
{
  ""page_number"": 92,
  ""content"": ""Correct answer\nA: Blockers"",
  ""graph_explanation"": ""The graph displays a matrix of poker starting hands used to evaluate c-betting with sets versus overpairs. The x-axis represents one card of the hand, while the y-axis represents the other. Each cell represents a specific starting hand combination. Hands are color-coded based on strength or action recommendation, ranging from red to green shades. For example, AA, KK, and QQ appear prominently, indicating strong hands. Various combinations like AKo, KQo, and QJo are included, showing differences in strength and potential playability."",
  ""questions"": []
}
```"
290,"```json
{
  ""Page Number"": 289,
  ""Content"": ""STREETS"",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
291,"```json
{
  ""Page Number"": 290,
  ""Content"": ""STREETS\n\nIn this chapter, we will focus on strategies specific to different streets throughout the hand!\n\nOn earlier streets, draws have plenty of equity, and your range has incentive to disguise itself. On later streets, equity crystalizes. As the pot gets larger and betting opportunities fewer, players are more compelled to play according to the incentives of their hand class.\n\nWe’ll cover all streets, starting preflop, and work our way towards the river.""
}
```"
